name,description,manufacturer_code,category,tags,seo_keyword,meta_description,attributes,images,mpn,manufacturer_model_number,uom,sale_price,cost_price,options,weight,length,width,height,location,quantity
Cordova Bulldog Safety Glasses,"Cordova's Bulldog™ safety glasses offer a single wrap-around lens, a spatula temple design, integrated nose piece, and a scratch-resistant polycarbonate lens. They meet ANSI Z87.1+ Standards and provide 99.9% UV protection.",COR,Eye Protection|Glasses,Cordova|Bulldog|Safety Glasses|Clear|Polycarbonate,Clear Safety Glasses,Clear Safety Glasses,Material: Scratch-Resistant Polycarbonate Lens|Features: Single Wrap-Around Lens \ Spatula Temple Design Integrated Nose Piece|Details: Frosted Frame|Protection: Meets ANSI Z87.1 Standard \ Provides 99.9% UV Protection,products/COREHF10SCLEAR.jpg,EHF10S,EHF10SCLEAR,dozen,11.00,6.96,color: clear,,,,,"Oklahoma City, OK",0
Cordova Caliber High Performance Cut Resistant Gloves,"High-performance gloves are machine knit constructed of high-strength yarns that provide increased levels of dexterity and abrasion- and cut-resistance. Most feature coatings to increase the durability and gripping power. High Performance Polyethylene (HPPE) has a tensile strength 15 times stronger than steel on an equal weight basis. Gloves made with HPPE are lightweight, comfortable and abrasion- and cut-resistant. Tests have shown that gloves made with HPPE fibers have up to 20 times the abrasion resistance of gloves made with spun Aramid yarns. The CORDOVA-brand CALIBER™ glove features a salt & pepper, 13-gauge HPPE shell and gray polyurethane (PU) palm coating. It offers an A2 cut level.",COR,Hand Protection|Cut Resistant|Gloves|HPPE,Cordova|Caliber| HPPE Gloves|Cut Resistant|High Performance|A2 ,Cut Resistant Gloves,Cut Resistant Gloves,"Features: Salt & Pepper, 13-Gauge, HPPE Shell \ Gray PU Palm Coating|Protection: CE/EN 388: 4342, CE Cut Level 3 \ ANSI/ISEA 105-2016 Cut Level A2: 729 grams|Details: Gloves made with HPPE are lightweight, comfortable and abrasion- and cut-resistant.",products/COR3716G_1.jpg|products/COR3716G_2.jpg|products/COR3716G_3.jpg,3716,3716G,pair,3.00,2.00,size: xs| color: gray,,,,,"Oklahoma City, OK",0
Cordova Caliber High Performance Cut Resistant Gloves,,,,,,,,,3716,3716G,pair,3.00,2.00,size: s| color: gray,,,,,"Oklahoma City, OK",0
Cordova Caliber High Performance Cut Resistant Gloves,,,,,,,,,3716,3716G,pair,3.00,2.00,size: m| color: gray,,,,,"Oklahoma City, OK",0
Cordova Caliber High Performance Cut Resistant Gloves,,,,,,,,,3716,3716G,pair,3.00,2.00,size: l| color: gray,,,,,"Oklahoma City, OK",0
Cordova Caliber High Performance Cut Resistant Gloves,,,,,,,,,3716,3716G,pair,3.00,2.00,size: xl|color: gray,,,,,"Oklahoma City, OK",0
Cordova Caliber High Performance Cut Resistant Gloves,,,,,,,,,3716,3716G,pair,3.00,2.00,size: 2xl|color: gray,,,,,"Oklahoma City, OK",0
Pyramex Lens Cleaning Towelettes,"Pyramex LCT100 100 Pre-moistened Lens cleaning wipes with anti-fog, anti-static formula ideal for glasses, goggles, and face shields. Safe and effective with all types of lens coatings.",PYR,Eye Protection|Accessories|Lens Cleaners,Pyramex| Lens| Cleaning| Towelettes| Wipes| Anti-Fog| Anti-Static,Lens Cleaning Wipes,Lens Cleaning Wipes,"Dimensions: 5X8 Towelettes|Technology: Anti-fog, anti-static formula|Quantities: 100 individually packaged pre-moistened towelettes.",products/PYRLCT100.jpg,LCT100,,box,5.00,3.78,,,,,,"Oklahoma City, OK",0
Cordova Standard Grain Cowhide Driver,"Cordova Safety Products grades leather according to the area on the hide from which it is cut. The premium-grade leather comes from side or shoulder and from areas higher on the animal that receive the least amount of movement. Select-grade leather is selected from the areas of the hide that don’t quite make the Premium grade, but are still a higher-quality leather. The regular and economy cuts are selected from the middle and lower portions of the hide, making it thinner than other grades. This leather driver glove is constructed of standard grain cowhide. Cowhide is comfortable, durable, breathable and offers excellent abrasion resistance. It is unlined and features a shirred elastic back and a keystone thumb, which offers the highest range of motion and comfort.",COR,Hand Protection|Leather Gloves|Drivers,Cordova| Driver| Cowhide| Leather Gloves| Unlined| Keystone Thumb ,Standard Leather Gloves,Standard Leather Gloves,Material: Standard Grain Cowhide|Features: Keystone Thumb\Shirred Elastic Back|Details: Unlined,products/COR8212.jpg,8212,,pair,5.00,2.41,color: beige| size: xs,,,,,"Oklahoma City, OK",0
Cordova Standard Grain Cowhide Driver,,,,,,,,,8212,,dozen,43.00,40.00,color: beige| size: xs,,,,,"Oklahoma City, OK",0
